Loaded /workspace/dataset/mstr_images_1.mat -> 500 micro-cells of 150x150
  cell  10/500  c00=4.823e-03  c11=4.966e-03  c01=-3.02e-16   elapsed 56.9s
  cell  20/500  c00=4.104e-03  c11=4.080e-03  c01=-3.39e-16   elapsed 113.4s
  cell  30/500  c00=2.752e-02  c11=2.771e-02  c01=+2.36e-15   elapsed 169.4s
  cell  40/500  c00=2.280e-04  c11=3.478e-04  c01=+8.45e-19   elapsed 225.5s
  cell  50/500  c00=3.008e-01  c11=3.008e-01  c01=+7.29e-14   elapsed 281.9s
  cell  60/500  c00=5.099e-02  c11=5.060e-02  c01=-1.86e-16   elapsed 337.8s
  cell  70/500  c00=2.477e-01  c11=2.477e-01  c01=+5.80e-15   elapsed 393.8s
  cell  80/500  c00=3.714e-01  c11=3.714e-01  c01=+2.34e-10   elapsed 449.9s
  cell  90/500  c00=2.722e-03  c11=2.722e-03  c01=-4.21e-19   elapsed 507.9s
  cell 100/500  c00=4.977e-03  c11=4.977e-03  c01=+1.63e-17   elapsed 564.9s
  cell 110/500  c00=1.727e-03  c11=2.463e-03  c01=-4.06e-17   elapsed 622.6s
  cell 120/500  c00=4.439e-03  c11=1.338e-02  c01=-9.71e-19   elapsed 679.3s
  cell 130/500  c00=9.943e-02  c11=1.010e-01  c01=+1.52e-14   elapsed 736.0s
  cell 140/500  c00=1.903e-03  c11=1.895e-03  c01=+4.50e-17   elapsed 792.8s
  cell 150/500  c00=8.838e-04  c11=8.838e-04  c01=-2.26e-17   elapsed 849.3s
  cell 160/500  c00=2.682e-04  c11=4.796e-04  c01=-5.98e-18   elapsed 905.6s
  cell 170/500  c00=5.238e-03  c11=2.171e-02  c01=-8.84e-17   elapsed 962.8s
  cell 180/500  c00=3.404e-04  c11=1.121e-03  c01=-4.15e-19   elapsed 1019.5s
  cell 190/500  c00=1.233e-02  c11=2.774e-02  c01=+2.63e-06   elapsed 1075.8s
  cell 200/500  c00=2.775e-02  c11=2.762e-02  c01=-3.27e-16   elapsed 1132.4s
  cell 210/500  c00=1.660e-03  c11=2.015e-03  c01=-1.20e-17   elapsed 1188.8s
  cell 220/500  c00=5.344e-03  c11=1.179e-02  c01=-5.40e-17   elapsed 1244.8s
  cell 230/500  c00=5.320e-02  c11=2.723e-02  c01=-9.45e-08   elapsed 1301.2s
  cell 240/500  c00=5.577e-03  c11=1.099e-02  c01=-2.37e-16   elapsed 1358.0s
  cell 250/500  c00=5.448e-03  c11=5.448e-03  c01=+2.82e-16   elapsed 1414.3s
  cell 260/500  c00=1.269e-03  c11=5.969e-03  c01=-2.86e-08   elapsed 1470.7s
  cell 270/500  c00=1.367e-03  c11=1.424e-03  c01=+1.76e-09   elapsed 1526.6s
  cell 280/500  c00=7.340e-04  c11=3.558e-03  c01=-6.54e-17   elapsed 1582.6s
  cell 290/500  c00=2.524e-01  c11=2.737e-01  c01=+3.68e-14   elapsed 1638.6s
  cell 300/500  c00=1.200e-01  c11=1.200e-01  c01=-4.96e-15   elapsed 1694.9s
  cell 310/500  c00=8.163e-03  c11=7.926e-03  c01=+2.53e-16   elapsed 1751.1s
  cell 320/500  c00=3.714e-01  c11=3.714e-01  c01=+2.34e-10   elapsed 1807.1s
  cell 330/500  c00=1.880e-03  c11=2.191e-03  c01=+4.92e-17   elapsed 1863.5s
  cell 340/500  c00=1.092e-02  c11=1.092e-02  c01=-2.44e-16   elapsed 1919.9s
  cell 350/500  c00=3.714e-01  c11=3.714e-01  c01=+2.34e-10   elapsed 1976.2s
  cell 360/500  c00=3.714e-01  c11=3.714e-01  c01=+2.34e-10   elapsed 2032.7s
  cell 370/500  c00=3.776e-03  c11=3.776e-03  c01=-2.57e-16   elapsed 2089.6s
  cell 380/500  c00=1.133e-02  c11=1.030e-02  c01=-1.32e-15   elapsed 2146.8s
  cell 390/500  c00=4.906e-03  c11=3.589e-03  c01=-9.13e-18   elapsed 2204.1s
  cell 400/500  c00=6.559e-04  c11=6.575e-04  c01=-1.12e-17   elapsed 2261.1s
  cell 410/500  c00=1.136e-03  c11=1.022e-03  c01=-1.88e-20   elapsed 2318.2s
  cell 420/500  c00=7.261e-02  c11=7.261e-02  c01=+3.52e-15   elapsed 2374.5s
  cell 430/500  c00=8.248e-04  c11=9.048e-04  c01=+1.72e-17   elapsed 2430.9s
  cell 440/500  c00=2.585e-02  c11=2.591e-02  c01=+3.89e-18   elapsed 2487.7s
  cell 450/500  c00=1.767e-03  c11=1.890e-03  c01=+1.22e-08   elapsed 2544.5s
  cell 460/500  c00=1.142e-02  c11=1.145e-02  c01=-8.24e-16   elapsed 2601.0s
  cell 470/500  c00=1.307e-02  c11=1.324e-02  c01=+9.58e-16   elapsed 2657.4s
  cell 480/500  c00=3.050e-02  c11=3.050e-02  c01=-1.78e-15   elapsed 2713.9s
  cell 490/500  c00=2.254e-01  c11=2.398e-01  c01=+4.52e-14   elapsed 2771.0s
  cell 500/500  c00=6.265e-03  c11=6.467e-03  c01=-4.73e-16   elapsed 2827.6s

Wrote /workspace/dataset/homogen_data_1.mat
  c00 range: 4.120e-05 .. 3.714e-01
  c11 range: 7.530e-05 .. 3.714e-01
  |c01| max: 6.755e-05 (should be small for symmetric shapes)
